"transect","strata","x.start","y.start","x.end","y.end"
1,"A",115.818849270281,-20.895717203127,115.809212276398,-20.8986617656825
2,"A",115.809212276398,-20.8986617656825,115.818802132861,-20.9017397537853
3,"A",115.818802132861,-20.9017397537853,115.809164747115,-20.9046842931888
4,"B",115.693880256565,-20.8948079176318,115.684241288364,-20.8977453115804
5,"B",115.684241288364,-20.8977453115804,115.693828135166,-20.9008301822943
6,"B",115.693828135166,-20.9008301822943,115.684188774311,-20.9037675508707
7,"C",115.692150459401,-21.0935403412792,115.682498460736,-21.0964768967194
8,"C",115.682498460736,-21.0964768967194,115.692097725435,-21.099562461359
9,"C",115.692097725435,-21.099562461359,115.682445329555,-21.1024989913503
10,"D",116.12622923432,-20.9427396984632,116.116594395761,-20.9457017190045
11,"D",116.116594395761,-20.9457017190045,116.12619427689,-20.9487627984709
12,"D",116.12619427689,-20.9487627984709,116.116559047426,-20.9517248013102
13,"E",115.876192800083,-20.94127601275,115.866553795515,-20.9442237135613
14,"E",115.866553795515,-20.9442237135613,115.876147843868,-20.9472986531956
15,"E",115.876147843868,-20.9472986531956,115.866508446773,-20.950246331864
16,"F",115.741793798463,-20.9132355708714,115.732154405953,-20.916175649926
17,"F",115.732154405953,-20.916175649926,115.74174354034,-20.9192579358601
18,"F",115.74174354034,-20.9192579358601,115.732103755066,-20.9221979903898
19,"G",115.702011270313,-21.0665145903029,115.692361209136,-21.0694518169916
20,"G",115.692361209136,-21.0694518169916,115.701959007322,-21.0725367532353
21,"G",115.701959007322,-21.0725367532353,115.692308549615,-21.0754739546567
22,"H",115.924790227838,-20.8693127456862,115.915156704046,-20.8722634596586
23,"H",115.915156704046,-20.8722634596586,115.924747377088,-20.8753355353593
24,"H",115.924747377088,-20.8753355353593,115.915113462729,-20.8782862280669
25,"I",115.828322231732,-20.9138510669236,115.81868421607,-20.9167961114299
26,"I",115.81868421607,-20.9167961114299,115.828275427925,-20.9198736253659
27,"I",115.828275427925,-20.9198736253659,115.818637020049,-20.9228186468846
28,"J",115.645167365195,-20.9666993535794,115.635522927016,-20.9696336721095
29,"J",115.635522927016,-20.9696336721095,115.645113096712,-20.9727214480432
30,"J",115.645113096712,-20.9727214480432,115.635468263923,-20.9756557403184
31,"K",115.701540238265,-21.1207138984776,115.691886603332,-21.1236508976782
32,"K",115.691886603332,-21.1236508976782,115.701487808941,-21.1267360218404
33,"K",115.701487808941,-21.1267360218404,115.69183377623,-21.1296729957528
34,"L",115.992074532237,-20.8697223355037,115.982442115097,-20.872676892896
35,"L",115.982442115097,-20.872676892896,115.992034361851,-20.8757452541444
36,"L",115.992034361851,-20.8757452541444,115.982401554577,-20.8786997914665
37,"M",115.866372304042,-20.9683141607107,115.856731375691,-20.9712612092935
38,"M",115.856731375691,-20.9712612092935,115.866326890954,-20.9743367616356
39,"M",115.866326890954,-20.9743367616356,115.856685569394,-20.9772837878954
40,"N",115.750281452854,-21.0488087783799,115.740633342893,-21.0517488609451
41,"N",115.740633342893,-21.0517488609451,115.750231179448,-21.0548310672536
42,"N",115.750231179448,-21.0548310672536,115.740582673677,-21.0577711254142
43,"O",115.642871490777,-21.2196235325207,115.633210359708,-21.2225567462811
44,"O",115.633210359708,-21.2225567462811,115.642816411569,-21.2256454418648
45,"O",115.642816411569,-21.2256454418648,115.633154880065,-21.2285786292695
46,"P",116.001208323347,-20.9420536411731,115.991571375614,-20.9450085083978
47,"P",115.991571375614,-20.9450085083978,116.001168366036,-20.9480765257743
48,"P",116.001168366036,-20.9480765257743,115.991531026582,-20.9510313730768
49,"Q",115.769749668692,-21.0218486952477,115.760103644776,-21.0247899975722
50,"Q",115.760103644776,-21.0247899975722,115.769700247731,-21.0278710477221
51,"Q",115.769700247731,-21.0278710477221,115.760053828749,-21.0308123259943
52,"R",115.797814759862,-21.1214243443424,115.788162664959,-21.1243669223751
53,"R",115.788162664959,-21.1243669223751,115.797766215546,-21.1274466891958
54,"R",115.797766215546,-21.1274466891958,115.788113723477,-21.1303892436534
55,"S",116.020911150571,-20.8698897772387,116.011279212346,-20.8728459806517
56,"S",116.011279212346,-20.8728459806517,116.020872129,-20.8759127486019
57,"S",116.020872129,-20.8759127486019,116.011239800829,-20.8788689324566
58,"T",116.000848197158,-20.996259446908,115.991207718978,-20.9992141347655
59,"T",115.991207718978,-20.9992141347655,116.000808112211,-21.0022822925749
60,"T",116.000808112211,-21.0022822925749,115.991167241071,-21.0052369604934
